date	county	new_cases	cumulative_cases	source	outbreak
2026-08-28	Mercer	1	3	Scrape of PDOH measles webpage	2
2026-08-28	Mifflin	6	43	Scrape of PDOH measles webpage	2
2026-08-28	Potter	3	4	Scrape of PDOH measles webpage	2
2026-08-28	Snyder	4	21	Scrape of PDOH measles webpage	2
2026-08-28	Union	1	2	Scrape of PDOH measles webpage	2
2026-08-28	York	2	17	Scrape of PDOH measles webpage	2
2026-08-31	Adams	1	1	Scrape of PDOH measles webpage	2
2026-08-31	Chester	7	50	Scrape of PDOH measles webpage	2
2026-08-31	Clearfield	1	10	Scrape of PDOH measles webpage	2
2026-08-31	Cumberland	1	1	Scrape of PDOH measles webpage	2
2026-08-31	Franklin	1	2	Scrape of PDOH measles webpage	2
2026-08-31	Jefferson	2	18	Scrape of PDOH measles webpage	2
2026-08-31	Lancaster	17	227	Scrape of PDOH measles webpage	2
2026-08-31	Montour	1	1	Scrape of PDOH measles webpage	2
2026-08-31	Snyder	1	22	Scrape of PDOH measles webpage	2
2026-08-31	Somerset	1	5	Scrape of PDOH measles webpage	2
2026-08-31	Union	2	4	Scrape of PDOH measles webpage	2
2026-08-31	York	2	19	Scrape of PDOH measles webpage	2
2026-09-02	Armstrong	1	1	Scrape of PDOH measles webpage	2
2026-09-02	Centre	2	17	Scrape of PDOH measles webpage	2
2026-09-02	Chester	2	52	Scrape of PDOH measles webpage	2
2026-09-02	Clarion	1	3	Scrape of PDOH measles webpage	2
2026-09-02	Clearfield	2	12	Scrape of PDOH measles webpage	2
2026-09-02	Dauphin	1	4	Scrape of PDOH measles webpage	2
2026-09-02	Indiana	1	9	Scrape of PDOH measles webpage	2
2026-09-02	Jefferson	5	23	Scrape of PDOH measles webpage	2
2026-09-02	Lancaster	15	242	Scrape of PDOH measles webpage	2
2026-09-02	McKean	2	2	Scrape of PDOH measles webpage	2
2026-09-02	Mercer	1	4	Scrape of PDOH measles webpage	2
2026-09-02	Mifflin	6	49	Scrape of PDOH measles webpage	2
2026-09-02	Snyder	1	23	Scrape of PDOH measles webpage	2
2026-09-02	Somerset	1	6	Scrape of PDOH measles webpage	2
2026-09-02	Warren	1	4	Scrape of PDOH measles webpage	2
2026-09-02	York	1	20	Scrape of PDOH measles webpage	2
2026-09-04	Cambria	1	1	Scrape of PDOH measles webpage	2
2026-09-04	Chester	4	56	Scrape of PDOH measles webpage	2
2026-09-04	Clarion	2	5	Scrape of PDOH measles webpage	2
2026-09-04	Clinton	2	4	Scrape of PDOH measles webpage	2
2026-09-04	Indiana	1	10	Scrape of PDOH measles webpage	2
2026-09-04	Jefferson	1	24	Scrape of PDOH measles webpage	2
2026-09-04	Lancaster	4	246	Scrape of PDOH measles webpage	2
2026-09-04	McKean	1	3	Scrape of PDOH measles webpage	2
2026-09-04	Mifflin	8	57	Scrape of PDOH measles webpage	2
2026-09-04	Potter	2	6	Scrape of PDOH measles webpage	2
2026-09-04	Snyder	1	24	Scrape of PDOH measles webpage	2
2026-09-04	Somerset	6	12	Scrape of PDOH measles webpage	2
2026-09-04	Warren	2	6	Scrape of PDOH measles webpage	2
2026-09-04	York	2	22	Scrape of PDOH measles webpage	2
2026-09-08	Lancaster	6	252	Scrape of PDOH measles webpage	2
2026-09-08	McKean	1	4	Scrape of PDOH measles webpage	2
2026-09-08	Mifflin	9	66	Scrape of PDOH measles webpage	2
2026-09-08	York	1	23	Scrape of PDOH measles webpage	2
